id,review,sentiment
130,"Barang asli dan harga terjangkau, sangat puas",positif
131,Toko terpercaya dan pengiriman cepat,positif
132,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
133,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
134,"Harga murah dan kualitas sebanding, sangat puas",positif
135,"Pelayanan ramah dan responsif, recommended seller",positif
136,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
137,Toko terpercaya dan pengiriman cepat,positif
138,Toko terpercaya dan pengiriman cepat,positif
139,"Pelayanan ramah dan responsif, recommended seller",positif
140,Toko terpercaya dan pengiriman cepat,positif
141,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
142,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
143,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
144,Sangat puas dengan kualitas dan pelayanannya,positif
145,Puas sekali dengan pelayanan dan kualitas barang,positif
146,"Barang asli dan harga terjangkau, sangat puas",positif
147,"Barang rusak, tidak bisa dipakai",negatif
148,Toko terpercaya dan pengiriman cepat,positif
149,"Barang rusak, tidak bisa dipakai",negatif
150,Pengemasan sangat rapi dan pengiriman cepat,positif
151,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
152,"Barang rusak, tidak bisa dipakai",negatif
153,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
154,"Produk bagus, akan order lagi lain waktu",positif
155,Penjual tidak responsif saat komplain,negatif
156,Barang bekas dikirimkan sebagai baru,negatif
157,Barang bekas dikirimkan sebagai baru,negatif
158,Penjual tidak responsif saat komplain,negatif
159,"Barang rusak, tidak bisa dipakai",negatif
160,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
161,"Pelayanan ramah dan responsif, recommended seller",positif
162,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
163,Toko terpercaya dan pengiriman cepat,positif
164,"Barang asli dan harga terjangkau, sangat puas",positif
165,Puas sekali dengan pelayanan dan kualitas barang,positif
166,"Tidak sesuai deskripsi, kualitas buruk",negatif
167,Barang sampai dengan cepat dan kualitas bagus,positif
168,Sangat puas dengan kualitas dan pelayanannya,positif
169,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
170,"Harga murah dan kualitas sebanding, sangat puas",positif
171,Penjual tidak responsif saat komplain,negatif
172,"Produk bagus, akan order lagi lain waktu",positif
173,Barang datang dalam kondisi rusak,negatif
174,"Barang rusak, tidak bisa dipakai",negatif
175,"Harga murah dan kualitas sebanding, sangat puas",positif
176,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
177,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
178,Barang sampai dengan cepat dan kualitas bagus,positif
179,Barang sampai dengan cepat dan kualitas bagus,positif
180,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
181,Barang bekas dikirimkan sebagai baru,negatif
182,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
183,Barang datang dalam kondisi rusak,negatif
184,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
185,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
186,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
187,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
188,"Barang asli dan harga terjangkau, sangat puas",positif
189,Barang datang dalam kondisi rusak,negatif
190,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
191,"Pelayanan ramah dan responsif, recommended seller",positif
192,Barang sampai dengan cepat dan kualitas bagus,positif
193,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
194,"Produk bagus, akan order lagi lain waktu",positif
195,Pengemasan sangat rapi dan pengiriman cepat,positif
196,Puas sekali dengan pelayanan dan kualitas barang,positif
197,"Barang asli dan harga terjangkau, sangat puas",positif
198,"Pelayanan ramah dan responsif, recommended seller",positif
199,Penjual tidak responsif saat komplain,negatif
200,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
201,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
202,Barang sampai dengan cepat dan kualitas bagus,positif
203,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
204,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
205,Toko terpercaya dan pengiriman cepat,positif
206,"Barang asli dan harga terjangkau, sangat puas",positif
207,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
208,Toko terpercaya dan pengiriman cepat,positif
209,Barang sampai dengan cepat dan kualitas bagus,positif
210,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
211,"Tidak sesuai deskripsi, kualitas buruk",negatif
212,Barang bekas dikirimkan sebagai baru,negatif
213,Sangat puas dengan kualitas dan pelayanannya,positif
214,Puas sekali dengan pelayanan dan kualitas barang,positif
215,Produk datang telat dan tidak lengkap,negatif
216,"Pelayanan ramah dan responsif, recommended seller",positif
217,Penjual tidak responsif saat komplain,negatif
218,Barang bekas dikirimkan sebagai baru,negatif
219,Sangat puas dengan kualitas dan pelayanannya,positif
220,"Tidak sesuai deskripsi, kualitas buruk",negatif
221,Sangat puas dengan kualitas dan pelayanannya,positif
222,Barang datang dalam kondisi rusak,negatif
223,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
224,Penjual tidak responsif saat komplain,negatif
225,Barang sampai dengan cepat dan kualitas bagus,positif
226,Pengemasan sangat rapi dan pengiriman cepat,positif
227,Toko terpercaya dan pengiriman cepat,positif
228,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
229,"Produk bagus, akan order lagi lain waktu",positif
230,"Tidak sesuai deskripsi, kualitas buruk",negatif
231,"Harga murah dan kualitas sebanding, sangat puas",positif
232,Penjual tidak responsif saat komplain,negatif
233,Barang bekas dikirimkan sebagai baru,negatif
234,"Barang rusak, tidak bisa dipakai",negatif
235,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
236,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
237,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
238,Pengemasan sangat rapi dan pengiriman cepat,positif
239,Produk datang telat dan tidak lengkap,negatif
240,"Barang rusak, tidak bisa dipakai",negatif
241,Puas sekali dengan pelayanan dan kualitas barang,positif
242,Barang datang dalam kondisi rusak,negatif
243,Pengemasan sangat rapi dan pengiriman cepat,positif
244,Barang sampai dengan cepat dan kualitas bagus,positif
245,"Barang rusak, tidak bisa dipakai",negatif
246,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
247,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
248,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
249,"Pelayanan ramah dan responsif, recommended seller",positif
250,"Produk bagus, akan order lagi lain waktu",positif
251,"Tidak sesuai deskripsi, kualitas buruk",negatif
252,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
253,"Tidak sesuai deskripsi, kualitas buruk",negatif
254,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
255,"Harga murah dan kualitas sebanding, sangat puas",positif
256,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
257,Pengemasan sangat rapi dan pengiriman cepat,positif
258,Penjual tidak responsif saat komplain,negatif
259,"Tidak sesuai deskripsi, kualitas buruk",negatif
260,Pengemasan sangat rapi dan pengiriman cepat,positif
261,"Pelayanan ramah dan responsif, recommended seller",positif
262,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
263,"Barang asli dan harga terjangkau, sangat puas",positif
264,"Barang rusak, tidak bisa dipakai",negatif
265,Pengemasan sangat rapi dan pengiriman cepat,positif
266,"Harga murah dan kualitas sebanding, sangat puas",positif
267,"Barang rusak, tidak bisa dipakai",negatif
268,"Barang asli dan harga terjangkau, sangat puas",positif
269,Barang datang dalam kondisi rusak,negatif
270,Sangat puas dengan kualitas dan pelayanannya,positif
271,Toko terpercaya dan pengiriman cepat,positif
272,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
273,Produk datang telat dan tidak lengkap,negatif
274,Barang sampai dengan cepat dan kualitas bagus,positif
275,Penjual tidak responsif saat komplain,negatif
276,Barang datang dalam kondisi rusak,negatif
277,"Tidak sesuai deskripsi, kualitas buruk",negatif
278,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
279,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
280,Barang sampai dengan cepat dan kualitas bagus,positif
281,Puas sekali dengan pelayanan dan kualitas barang,positif
282,Barang datang dalam kondisi rusak,negatif
283,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
284,Produk datang telat dan tidak lengkap,negatif
285,Barang datang dalam kondisi rusak,negatif
286,Barang bekas dikirimkan sebagai baru,negatif
287,Puas sekali dengan pelayanan dan kualitas barang,positif
288,"Produk bagus, akan order lagi lain waktu",positif
289,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
290,Pengemasan sangat rapi dan pengiriman cepat,positif
291,"Barang asli dan harga terjangkau, sangat puas",positif
292,Barang datang dalam kondisi rusak,negatif
293,Sangat puas dengan kualitas dan pelayanannya,positif
294,"Pelayanan ramah dan responsif, recommended seller",positif
295,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
296,"Barang asli dan harga terjangkau, sangat puas",positif
297,"Pelayanan ramah dan responsif, recommended seller",positif
298,Barang bekas dikirimkan sebagai baru,negatif
299,Barang sampai dengan cepat dan kualitas bagus,positif
300,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
301,Produk datang telat dan tidak lengkap,negatif
302,"Harga murah dan kualitas sebanding, sangat puas",positif
303,"Pelayanan ramah dan responsif, recommended seller",positif
304,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
305,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
306,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
307,"Barang rusak, tidak bisa dipakai",negatif
308,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
309,"Barang rusak, tidak bisa dipakai",negatif
310,Penjual tidak responsif saat komplain,negatif
311,Barang datang dalam kondisi rusak,negatif
312,Pengemasan sangat rapi dan pengiriman cepat,positif
313,Puas sekali dengan pelayanan dan kualitas barang,positif
314,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
315,Produk datang telat dan tidak lengkap,negatif
316,Produk datang telat dan tidak lengkap,negatif
317,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
318,Barang bekas dikirimkan sebagai baru,negatif
319,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
320,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
321,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
322,"Barang asli dan harga terjangkau, sangat puas",positif
323,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
324,Barang datang dalam kondisi rusak,negatif
325,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
326,Penjual tidak responsif saat komplain,negatif
327,"Tidak sesuai deskripsi, kualitas buruk",negatif
328,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
329,Toko terpercaya dan pengiriman cepat,positif
330,Pengemasan sangat rapi dan pengiriman cepat,positif
331,"Barang rusak, tidak bisa dipakai",negatif
332,"Produk bagus, akan order lagi lain waktu",positif
333,"Produk bagus, akan order lagi lain waktu",positif
334,Barang bekas dikirimkan sebagai baru,negatif
335,Barang sampai dengan cepat dan kualitas bagus,positif
336,"Barang asli dan harga terjangkau, sangat puas",positif
337,Pengemasan sangat rapi dan pengiriman cepat,positif
338,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
339,Toko terpercaya dan pengiriman cepat,positif
340,Penjual tidak responsif saat komplain,negatif
341,"Tidak sesuai deskripsi, kualitas buruk",negatif
342,"Barang rusak, tidak bisa dipakai",negatif
343,Sangat puas dengan kualitas dan pelayanannya,positif
344,Pengemasan sangat rapi dan pengiriman cepat,positif
345,Barang bekas dikirimkan sebagai baru,negatif
346,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
347,"Barang rusak, tidak bisa dipakai",negatif
348,Sangat puas dengan kualitas dan pelayanannya,positif
349,Penjual tidak responsif saat komplain,negatif
350,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
351,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
352,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
353,"Produk bagus, akan order lagi lain waktu",positif
354,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
355,Pengemasan sangat rapi dan pengiriman cepat,positif
356,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
357,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
358,"Produk bagus, akan order lagi lain waktu",positif
359,Toko terpercaya dan pengiriman cepat,positif
360,"Tidak sesuai deskripsi, kualitas buruk",negatif
361,"Barang rusak, tidak bisa dipakai",negatif
362,Penjual tidak responsif saat komplain,negatif
363,"Harga murah dan kualitas sebanding, sangat puas",positif
364,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
365,Barang sampai dengan cepat dan kualitas bagus,positif
366,"Tidak sesuai deskripsi, kualitas buruk",negatif
367,"Harga murah dan kualitas sebanding, sangat puas",positif
368,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
369,Barang sampai dengan cepat dan kualitas bagus,positif
370,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
371,"Barang asli dan harga terjangkau, sangat puas",positif
372,Barang sampai dengan cepat dan kualitas bagus,positif
373,"Produk bagus, akan order lagi lain waktu",positif
374,"Pelayanan ramah dan responsif, recommended seller",positif
375,"Pelayanan ramah dan responsif, recommended seller",positif
376,Barang bekas dikirimkan sebagai baru,negatif
377,"Harga murah dan kualitas sebanding, sangat puas",positif
378,Penjual tidak responsif saat komplain,negatif
379,Pengemasan sangat rapi dan pengiriman cepat,positif
380,Sangat puas dengan kualitas dan pelayanannya,positif
381,Produk datang telat dan tidak lengkap,negatif
382,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
383,"Produk bagus, akan order lagi lain waktu",positif
384,Toko terpercaya dan pengiriman cepat,positif
385,Penjual tidak responsif saat komplain,negatif
386,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
387,"Barang rusak, tidak bisa dipakai",negatif
388,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
389,Penjual tidak responsif saat komplain,negatif
390,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
391,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
392,Barang sampai dengan cepat dan kualitas bagus,positif
393,Toko terpercaya dan pengiriman cepat,positif
394,Barang sampai dengan cepat dan kualitas bagus,positif
395,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
396,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
397,Pengemasan sangat rapi dan pengiriman cepat,positif
398,Barang bekas dikirimkan sebagai baru,negatif
399,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
400,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
401,"Harga murah dan kualitas sebanding, sangat puas",positif
402,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
403,"Harga murah dan kualitas sebanding, sangat puas",positif
404,Produk datang telat dan tidak lengkap,negatif
405,Produk datang telat dan tidak lengkap,negatif
406,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
407,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
408,Penjual tidak responsif saat komplain,negatif
409,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
410,Toko terpercaya dan pengiriman cepat,positif
411,Sangat puas dengan kualitas dan pelayanannya,positif
412,Produk datang telat dan tidak lengkap,negatif
413,"Pelayanan ramah dan responsif, recommended seller",positif
414,Puas sekali dengan pelayanan dan kualitas barang,positif
415,Produk datang telat dan tidak lengkap,negatif
416,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
417,Barang bekas dikirimkan sebagai baru,negatif
418,Produk datang telat dan tidak lengkap,negatif
419,"Harga murah dan kualitas sebanding, sangat puas",positif
420,Puas sekali dengan pelayanan dan kualitas barang,positif
421,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
422,Toko terpercaya dan pengiriman cepat,positif
423,"Produk bagus, akan order lagi lain waktu",positif
424,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
425,"Barang asli dan harga terjangkau, sangat puas",positif
426,"Pelayanan ramah dan responsif, recommended seller",positif
427,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
428,"Produk bagus, akan order lagi lain waktu",positif
429,Sangat puas dengan kualitas dan pelayanannya,positif
430,"Tidak sesuai deskripsi, kualitas buruk",negatif
431,"Pelayanan ramah dan responsif, recommended seller",positif
432,"Barang asli dan harga terjangkau, sangat puas",positif
433,Sangat puas dengan kualitas dan pelayanannya,positif
434,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
435,"Tidak sesuai deskripsi, kualitas buruk",negatif
436,Barang sampai dengan cepat dan kualitas bagus,positif
437,"Barang asli dan harga terjangkau, sangat puas",positif
438,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
439,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
440,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
441,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
442,"Produk bagus, akan order lagi lain waktu",positif
443,Puas sekali dengan pelayanan dan kualitas barang,positif
444,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
445,Penjual tidak responsif saat komplain,negatif
446,"Tidak sesuai deskripsi, kualitas buruk",negatif
447,Pengemasan sangat rapi dan pengiriman cepat,positif
448,"Barang rusak, tidak bisa dipakai",negatif
449,"Pelayanan ramah dan responsif, recommended seller",positif
450,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
451,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
452,Penjual tidak responsif saat komplain,negatif
453,"Produk bagus, akan order lagi lain waktu",positif
454,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
455,"Harga murah dan kualitas sebanding, sangat puas",positif
456,Toko terpercaya dan pengiriman cepat,positif
457,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
458,Penjual tidak responsif saat komplain,negatif
459,Barang datang dalam kondisi rusak,negatif
460,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
461,Barang sampai dengan cepat dan kualitas bagus,positif
462,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
463,Produk datang telat dan tidak lengkap,negatif
464,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
465,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
466,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
467,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
468,"Barang asli dan harga terjangkau, sangat puas",positif
469,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
470,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
471,Barang datang dalam kondisi rusak,negatif
472,"Produk bagus, akan order lagi lain waktu",positif
473,Barang datang dalam kondisi rusak,negatif
474,Puas sekali dengan pelayanan dan kualitas barang,positif
475,Barang bekas dikirimkan sebagai baru,negatif
476,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
477,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
478,Produk datang telat dan tidak lengkap,negatif
479,"Pelayanan ramah dan responsif, recommended seller",positif
480,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
481,"Produk bagus, akan order lagi lain waktu",positif
482,"Harga murah dan kualitas sebanding, sangat puas",positif
483,Puas sekali dengan pelayanan dan kualitas barang,positif
484,"Barang rusak, tidak bisa dipakai",negatif
485,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
486,Sangat puas dengan kualitas dan pelayanannya,positif
487,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
488,"Tidak sesuai deskripsi, kualitas buruk",negatif
489,"Barang asli dan harga terjangkau, sangat puas",positif
490,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
491,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
492,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
493,Penjual tidak responsif saat komplain,negatif
494,"Barang rusak, tidak bisa dipakai",negatif
495,"Pelayanan ramah dan responsif, recommended seller",positif
496,"Barang rusak, tidak bisa dipakai",negatif
497,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
498,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
